Brand,,PLACE,ADDRESS,DIESEL PRICE AS ON 10.06.16
IOCL,,DHARUHERRA,"SH-28 DHARUHERRA BHIWADI ROAD, NEAR ALWAR BYPASS, DHARUHERRA",51.76
IOCL,,BALASORE,"NH-5 BHANGANGA, SORO, BALASORE",58.48
IOCL,,HUMNABAD,"NH-9, HYDERABAD ROAD, HUMNABAD, DISTT. BIDAR",58.08
IOCL,,AUTONAGAR,"7-111, PEDDA AMBERPET, NEAR RAMOJI FILM CITY, R.R. DISTT. ",58.61
IOCL,,BHIWANDI,"MUMBAI-AGRA ROAD, GAON DHAPODE, TALUKA BHIWANDI, DISTT. THANE",57.68
IOCL,,PALWAL,"77.8 KM STONE, N.H.-2, VILLAGE SARAI KHETLA, DIST. PALWAL",54.3
BPCL,,CHENNAI,"No 17, 100 Feet Inner Ring Road, Ponniammanmedu, Chennai ",55.41
BPCL,,MUTHANGI,"SURVEY NO. 96 & 100, MUTHUNGI VILLAGE, PATANCHERU, DIST. MEDAK",58.93
BPCL,,HOWRAH,"RANI HATI JUNCTION, NEAR JUNGLEPUR",0
BPCL,,TALOJA,"TALOJA, NAVI-MUMBAI",57.64
IOCL,,GOA,"NH-4A, PANJIM-BELAGUM HIGHWAY, DHANBANDORA, GOA",56.31
IOCL,,VANSATHLIPURAM,"S.NO:282, DOOR NO:4-12-934/1, VANASTHALIPURAM, HAYATHNAGAR MANDAL, HYD",58.72
BPCL,,KOTTAYAM,,58.13
IOCL,,TUMKUR,"KATYASANDRA, TUMKUR, DISTT-MAYSORE",
IOCL,,BIDAR,"SASTAPUR VILLAGE, N.H -9, MUMBAI-HYDERABAD ROAD, BASAVAKALYAN, BIDAR",57.83
IOCL,,SANGAREDDY,"SURVEY NO 210 PART, MALKAPUR NH-9 (NEW NH-65)MAIN ROAD, MEDAK DISTT",58.93
IOCL,,BANGALORE,"18KM, TUMKUR ROAD, NEAR BHORUKA ENGLISH SCHOOL, MADHVARA POST, BANGALORE",57.74
IOCL,,MEDCHAL,"SURVEY NO. 874, N.H. 44, MEDCHAL, NEAR SALES TAX CHECK POST, RANGAREDDY",58.67
IOCL,,DADRA,"S.No.66/1/2, Prithaviraj Chauhan Marg, VILLAGE NAROLI, DADRA",54.68
IOCL,,NAGPUR,"CHICH BHAWAN, AMRAVATI ROAD, NEAR NEW VEENA PROJECT, NAGPUR",58.32
IOCL,,DADRA,R.S.No. 47/2/1 Waghdhara Road DADRA,55
BPCL,,WARANGAL,"THIMMARPUR VILAGE, WARANGAL, TELANGANA",58.47
IOCL,,PUDUCHERRY,"R/S NO. 3/2, KALMANDAPAM, NETTAPAKKAM POST, PUDUCHERRY",54.36
BPCL,,VADODRA,"N.H.8, VILLAGE POR, DIST. VADODARA ",59.79
IOCL,,ARKONAM,"THANIGAI POLUR VILLAGE, NEAR MRF, ARAKKONAM",55.56
IOCL,,FARIDABAD,"SECTOR-6, FARIDABAD",54.27
IOCL,,MAUDAHA,"KANPUR SAGAR ROAD, MAUDAHA (HAMIRPUR)U.P.",0
BPCL,,ATTIBALLE,"29TH KM, HOSUR ROAD, OPP. GUEST LINE HOTEL, ATTIBELE INDS. AREA, ANEKAL TALUK, BANGALORE ",57.66
IOCL,,DELHI,"C-1, SANJAY GANDHI TRANSPORT NAGAR, NEW DELHI ",53.93
IOCL,,TRICHY,"90, NH-45, SIRUVACHUR, PERAMBLUR",56.1
IOCL,,WARANGAL,"3 5 74 sy no 313/b, thimmapur villege, mamnoor khammam high way road, warangal",58.52
IOCL,,ATKUR,"1/188, Nh 5 Main Road, Atkur, Ungutur Mandal, Krishna, A.P.",60.43
IOCL,,BILASPUR,"63.5 KM STONE, N.H.-8, Vill. Sidhrawali, BILASPUR, DIST. GURGAON",53.84
IOCL,,COIMBATORE,"624/1B1A, KOVAI ROAD, VELLAKOVIL",55.89
IOCL,,SELAQUI,"SELAQUI, DEHRADUN ",56.29
IOCL,,PONDICHERRY,"113/2, VILLUPURAM MAIN ROAD,THIRUVANDAR KOLI, MADAGADIPET, PUDUCHERRY ",54.39
BPCL,,PUNE,"CHAKAN, PUNE",57.87
IOCL,,DEVANAGREE,"SY NO. 19P, HONNUR GOLLAR HATTI, NH-4, P.B. ROAD, DEVANGREE ",58.29
IOCL,,COIMBATORE,"AVINASHI ROAD, NEELAMBUR, COIMBATORE ",55.74
IOCL,,CHENNAI,"THATCHOOR CROSS ROAD, G.N.T. ROAD PONNERI TALUK, THIRUVALLUR DIST. TAMILNADU",55.59
BPCL,,HOSKOTE,"NH-4, JODI VILLAGE POST, OLD MADRAS ROAD, HOSKOTE, BANGALORE",57.35
IOCL,,BHADRACHALAM,"BCM ROAD, PALONCHA, KHAMMAM DIST. A.P. ",59.16
IOCL,,RUDRAPUR,"BAREILLY ROAD, KICHHA, (U.S.NAGAR) ",55.58
IOCL,,BIJAPUR,"N.H.13, BANGALORE ROAD, NEXT TO TOLL PLAZA, BIJAPUR ",57.6
