Brand,Pump Name,PLACE,ADDRESS,PIN CODE,DIESEL PRICE AS ON 10.06.16
IOCL,Adi Filling Station                     ,DHARUHERRA,"SH-28 DHARUHERRA BHIWADI ROAD, NEAR ALWAR BYPASS, DHARUHERRA",123106,51.76
IOCL,Adipura Filling Station,BALASORE,"NH-5 BHANGANGA, SORO, BALASORE",756042,58.48
IOCL,Agni Filling Station,HUMNABAD,"NH-9, HYDERABAD ROAD, HUMNABAD, DISTT. BIDAR",585330,58.08
IOCL,Ambica Service Station                  ,AUTONAGAR,"7-111, PEDDA AMBERPET, NEAR RAMOJI FILM CITY, R.R. DISTT. ",501505,58.61
IOCL,Anjur Service Station,BHIWANDI,"MUMBAI-AGRA ROAD, GAON DHAPODE, TALUKA BHIWANDI, DISTT. THANE",421302,57.68
IOCL,Ashirwad Filling Station                ,PALWAL,"77.8 KM STONE, N.H.-2, VILLAGE SARAI KHETLA, DIST. PALWAL",121105,54.30
BPCL,Bagavathi Priya Energy Management service,CHENNAI,"No 17, 100 Feet Inner Ring Road, Ponniammanmedu, Chennai ",600110,55.41
BPCL,Bhaskar Enterprises                     ,MUTHANGI,"SURVEY NO. 96 & 100, MUTHUNGI VILLAGE, PATANCHERU, DIST. MEDAK",502300,58.93
BPCL,Bombay Service Station ,HOWRAH,"RANI HATI JUNCTION, NEAR JUNGLEPUR",711322,0.00
BPCL,Bp Taloja                               ,TALOJA,"TALOJA, NAVI-MUMBAI",410208,57.64
IOCL,Chaitanya Petroleum                     ,GOA,"NH-4A, PANJIM-BELAGUM HIGHWAY, DHANBANDORA, GOA",403401,56.31
IOCL,Charminar Service Station               ,VANSATHLIPURAM,"S.NO:282, DOOR NO:4-12-934/1, VANASTHALIPURAM, HAYATHNAGAR MANDAL, HYD",500070,58.72
BPCL,Chennikkara Fuels,KOTTAYAM,,,58.13
IOCL,Coco-hirehally Service Station          ,TUMKUR,"KATYASANDRA, TUMKUR, DISTT-MAYSORE",572101,58.09
IOCL,Dhami Petroleums                  ,BIDAR,"SASTAPUR VILLAGE, N.H -9, MUMBAI-HYDERABAD ROAD, BASAVAKALYAN, BIDAR",585330,57.83
